fileNames,bBox
combinedPicsChallenging/0001.png,"[107,76,34,34]"
combinedPicsChallenging/0002.png,"[65,34,34,34]"
combinedPicsChallenging/0003.png,"[110,149,34,34]"
combinedPicsChallenging/0004.png,"[133,8,34,34]"
combinedPicsChallenging/0005.png,"[141,98,34,34]"
combinedPicsChallenging/0006.png,"[173,53,34,34]"
combinedPicsChallenging/0007.png,"[59,119,34,34]"
combinedPicsChallenging/0008.png,"[93,56,34,34]"
combinedPicsChallenging/0009.png,"[48,132,34,34]"
combinedPicsChallenging/0010.png,"[142,153,34,34]"
combinedPicsChallenging/0011.png,"[25,89,34,34]"
combinedPicsChallenging/0012.png,"[84,36,34,34]"
combinedPicsChallenging/0013.png,"[28,20,34,34]"
combinedPicsChallenging/0014.png,"[53,140,34,34]"
combinedPicsChallenging/0015.png,"[166,120,34,34]"
combinedPicsChallenging/0016.png,"[157,144,34,34]"
combinedPicsChallenging/0017.png,"[145,180,34,34]"
combinedPicsChallenging/0018.png,"[32,139,34,34]"
combinedPicsChallenging/0019.png,"[122,56,34,34]"
combinedPicsChallenging/0020.png,"[94,85,34,34]"
combinedPicsChallenging/0021.png,"[140,146,34,34]"
combinedPicsChallenging/0022.png,"[75,62,34,34]"
combinedPicsChallenging/0023.png,"[146,184,34,34]"
combinedPicsChallenging/0024.png,"[91,55,34,34]"
combinedPicsChallenging/0025.png,"[176,190,34,34]"
combinedPicsChallenging/0026.png,"[29,132,34,34]"
combinedPicsChallenging/0027.png,"[18,135,34,34]"
combinedPicsChallenging/0028.png,"[43,24,34,34]"
combinedPicsChallenging/0029.png,"[85,117,34,34]"
combinedPicsChallenging/0030.png,"[79,110,34,34]"
combinedPicsChallenging/0031.png,"[90,75,34,34]"
combinedPicsChallenging/0032.png,"[138,150,34,34]"
combinedPicsChallenging/0033.png,"[178,60,34,34]"
combinedPicsChallenging/0034.png,"[3,39,34,34]"
combinedPicsChallenging/0035.png,"[145,75,34,34]"
combinedPicsChallenging/0036.png,"[47,146,34,34]"
combinedPicsChallenging/0037.png,"[93,173,34,34]"
combinedPicsChallenging/0038.png,"[188,36,34,34]"
combinedPicsChallenging/0039.png,"[20,127,34,34]"
combinedPicsChallenging/0040.png,"[122,163,34,34]"
combinedPicsChallenging/0041.png,"[27,160,34,34]"
combinedPicsChallenging/0042.png,"[176,168,34,34]"
combinedPicsChallenging/0043.png,"[133,127,34,34]"
combinedPicsChallenging/0044.png,"[80,129,34,34]"
combinedPicsChallenging/0045.png,"[74,164,34,34]"
combinedPicsChallenging/0046.png,"[44,76,34,34]"
combinedPicsChallenging/0047.png,"[7,186,34,34]"
combinedPicsChallenging/0048.png,"[121,45,34,34]"
combinedPicsChallenging/0049.png,"[106,7,34,34]"
combinedPicsChallenging/0050.png,"[146,36,34,34]"
combinedPicsChallenging/0051.png,"[152,160,34,34]"
combinedPicsChallenging/0052.png,"[10,75,34,34]"
combinedPicsChallenging/0053.png,"[39,122,34,34]"
combinedPicsChallenging/0054.png,"[114,33,34,34]"
combinedPicsChallenging/0055.png,"[94,37,34,34]"
combinedPicsChallenging/0056.png,"[59,71,34,34]"
combinedPicsChallenging/0057.png,"[127,51,34,34]"
combinedPicsChallenging/0058.png,"[16,154,34,34]"
combinedPicsChallenging/0059.png,"[50,2,34,34]"
combinedPicsChallenging/0060.png,"[49,162,34,34]"
combinedPicsChallenging/0061.png,"[181,147,34,34]"
combinedPicsChallenging/0062.png,"[82,115,34,34]"
combinedPicsChallenging/0063.png,"[19,110,34,34]"
combinedPicsChallenging/0064.png,"[128,99,34,34]"
combinedPicsChallenging/0065.png,"[151,64,34,34]"
combinedPicsChallenging/0066.png,"[173,136,34,34]"
combinedPicsChallenging/0067.png,"[113,147,34,34]"
combinedPicsChallenging/0068.png,"[40,127,34,34]"
combinedPicsChallenging/0069.png,"[84,145,34,34]"
combinedPicsChallenging/0070.png,"[186,157,34,34]"
combinedPicsChallenging/0071.png,"[160,10,34,34]"
combinedPicsChallenging/0072.png,"[182,30,34,34]"
combinedPicsChallenging/0073.png,"[151,34,34,34]"
combinedPicsChallenging/0074.png,"[94,127,34,34]"
