fileNames,bBox,class
combinedAugmented/office0000_class20_0523.png,"[126, 45, 34, 34]",20
combinedAugmented/office0000_class07_0947.png,"[12, 178, 34, 34]",07
combinedAugmented/office0000_class00_0781.png,"[160, 82, 34, 34]",00
combinedAugmented/office0000_class52_0777.png,"[78, 76, 34, 34]",52
combinedAugmented/office0000_class16_0429.png,"[106, 38, 34, 34]",16
combinedAugmented/office0000_class57_0199.png,"[137, 84, 34, 34]",57
combinedAugmented/office0000_class49_0535.png,"[170, 90, 34, 34]",49
combinedAugmented/office0000_class80_0199.png,"[108, 113, 34, 34]",80
combinedAugmented/office0000_class71_0281.png,"[136, 26, 34, 34]",71
combinedAugmented/office0000_class39_0148.png,"[101, 25, 34, 34]",39
combinedAugmented/office0000_class92_0112.png,"[133, 178, 34, 34]",92
combinedAugmented/office0000_class19_0646.png,"[62, 169, 34, 34]",19
combinedAugmented/office0000_class75_0549.png,"[118, 94, 34, 34]",75
combinedAugmented/office0000_class26_0890.png,"[135, 67, 34, 34]",26
combinedAugmented/office0000_class46_0352.png,"[45, 117, 34, 34]",46
combinedAugmented/office0000_class06_0436.png,"[20, 49, 34, 34]",06
combinedAugmented/office0000_class72_0314.png,"[55, 184, 34, 34]",72
combinedAugmented/office0000_class35_0317.png,"[103, 54, 34, 34]",35
combinedAugmented/office0000_class65_0915.png,"[57, 156, 34, 34]",65
combinedAugmented/office0000_class37_0443.png,"[12, 86, 34, 34]",37
combinedAugmented/office0000_class03_0901.png,"[3, 7, 34, 34]",03
combinedAugmented/office0000_class55_0273.png,"[139, 33, 34, 34]",55
combinedAugmented/office0000_class86_0821.png,"[165, 59, 34, 34]",86
combinedAugmented/office0000_class69_0821.png,"[46, 178, 34, 34]",69
combinedAugmented/office0000_class77_0118.png,"[178, 7, 34, 34]",77
combinedAugmented/office0000_class25_0545.png,"[119, 118, 34, 34]",25
combinedAugmented/office0000_class38_0295.png,"[73, 159, 34, 34]",38
combinedAugmented/office0000_class89_0711.png,"[176, 142, 34, 34]",89
combinedAugmented/office0000_class33_0032.png,"[7, 73, 34, 34]",33
combinedAugmented/office0000_class15_0793.png,"[71, 82, 34, 34]",15
combinedAugmented/office0000_class41_0813.png,"[47, 183, 34, 34]",41
combinedAugmented/office0000_class23_0871.png,"[167, 30, 34, 34]",23
combinedAugmented/office0000_class29_0557.png,"[0, 72, 34, 34]",29
combinedAugmented/office0000_class63_0059.png,"[113, 49, 34, 34]",63
combinedAugmented/office0000_class94_0694.png,"[64, 81, 34, 34]",94
combinedAugmented/office0000_class98_0725.png,"[188, 183, 34, 34]",98
combinedAugmented/office0000_class48_0630.png,"[4, 151, 34, 34]",48
combinedAugmented/office0000_class22_0167.png,"[19, 122, 34, 34]",22
combinedAugmented/office0000_class40_0689.png,"[39, 176, 34, 34]",40
combinedAugmented/office0000_class11_0170.png,"[167, 119, 34, 34]",11
combinedAugmented/office0000_class97_0726.png,"[132, 92, 34, 34]",97
combinedAugmented/office0000_class51_0124.png,"[167, 70, 34, 34]",51
combinedAugmented/office0000_class82_0461.png,"[53, 63, 34, 34]",82
combinedAugmented/office0000_class62_0063.png,"[153, 30, 34, 34]",62
combinedAugmented/office0000_class04_0745.png,"[70, 27, 34, 34]",04
combinedAugmented/office0000_class47_0203.png,"[169, 10, 34, 34]",47
combinedAugmented/office0000_class24_0570.png,"[102, 74, 34, 34]",24
combinedAugmented/office0000_class66_0722.png,"[170, 147, 34, 34]",66
combinedAugmented/office0000_class59_0674.png,"[41, 173, 34, 34]",59
combinedAugmented/office0000_class64_0613.png,"[120, 112, 34, 34]",64
combinedAugmented/office0000_class87_0788.png,"[164, 173, 34, 34]",87
combinedAugmented/office0000_class90_0592.png,"[128, 183, 34, 34]",90
combinedAugmented/office0000_class99_0228.png,"[76, 81, 34, 34]",99
combinedAugmented/office0000_class45_0988.png,"[36, 20, 34, 34]",45
combinedAugmented/office0000_class31_0898.png,"[131, 68, 34, 34]",31
combinedAugmented/office0000_class14_0896.png,"[109, 58, 34, 34]",14
combinedAugmented/office0000_class08_0707.png,"[76, 160, 34, 34]",08
combinedAugmented/office0000_class56_0278.png,"[37, 56, 34, 34]",56
combinedAugmented/office0000_class95_0589.png,"[57, 96, 34, 34]",95
combinedAugmented/office0000_class30_0126.png,"[75, 154, 34, 34]",30
combinedAugmented/office0000_class09_0055.png,"[170, 96, 34, 34]",09
combinedAugmented/office0000_class02_0222.png,"[128, 60, 34, 34]",02
combinedAugmented/office0000_class83_0892.png,"[97, 87, 34, 34]",83
combinedAugmented/office0000_class32_0223.png,"[18, 53, 34, 34]",32
combinedAugmented/office0000_class60_0263.png,"[8, 79, 34, 34]",60
combinedAugmented/office0000_class36_0139.png,"[5, 182, 34, 34]",36
combinedAugmented/office0000_class61_0663.png,"[42, 34, 34, 34]",61
combinedAugmented/office0000_class84_0074.png,"[167, 114, 34, 34]",84
combinedAugmented/office0000_class76_0414.png,"[81, 65, 34, 34]",76
combinedAugmented/office0000_class91_0440.png,"[135, 105, 34, 34]",91
combinedAugmented/office0000_class10_0709.png,"[71, 175, 34, 34]",10
combinedAugmented/office0000_class17_0170.png,"[34, 39, 34, 34]",17
combinedAugmented/office0000_class81_0925.png,"[170, 13, 34, 34]",81
combinedAugmented/office0000_class85_0528.png,"[114, 107, 34, 34]",85
combinedAugmented/office0000_class79_0861.png,"[70, 110, 34, 34]",79
combinedAugmented/office0000_class67_0247.png,"[39, 110, 34, 34]",67
combinedAugmented/office0000_class12_0909.png,"[16, 36, 34, 34]",12
combinedAugmented/office0000_class73_0266.png,"[130, 0, 34, 34]",73
combinedAugmented/office0000_class44_0885.png,"[104, 102, 34, 34]",44
combinedAugmented/office0000_class88_0298.png,"[125, 67, 34, 34]",88
combinedAugmented/office0000_class53_0427.png,"[104, 139, 34, 34]",53
combinedAugmented/office0000_class96_0657.png,"[6, 152, 34, 34]",96
combinedAugmented/office0000_class05_0739.png,"[101, 18, 34, 34]",05
combinedAugmented/office0000_class54_0323.png,"[65, 66, 34, 34]",54
combinedAugmented/office0000_class27_0993.png,"[138, 50, 34, 34]",27
combinedAugmented/office0000_class68_0694.png,"[149, 129, 34, 34]",68
combinedAugmented/office0000_class21_0253.png,"[137, 122, 34, 34]",21
combinedAugmented/office0000_class28_0184.png,"[66, 70, 34, 34]",28
combinedAugmented/office0000_class93_0068.png,"[146, 171, 34, 34]",93
combinedAugmented/office0000_class34_0849.png,"[86, 4, 34, 34]",34
combinedAugmented/office0000_class58_0778.png,"[57, 14, 34, 34]",58
combinedAugmented/office0000_class74_0993.png,"[183, 89, 34, 34]",74
combinedAugmented/office0000_class50_0343.png,"[55, 141, 34, 34]",50
combinedAugmented/office0000_class18_0462.png,"[141, 98, 34, 34]",18
combinedAugmented/office0000_class70_0442.png,"[171, 40, 34, 34]",70
combinedAugmented/office0000_class13_0985.png,"[180, 12, 34, 34]",13
combinedAugmented/office0000_class43_0718.png,"[116, 56, 34, 34]",43
combinedAugmented/office0000_class78_0125.png,"[63, 58, 34, 34]",78
combinedAugmented/office0000_class01_0244.png,"[155, 156, 34, 34]",01
combinedAugmented/office0000_class42_0854.png,"[20, 158, 34, 34]",42
combinedAugmented/office0001_class20_0812.png,"[115, 47, 34, 34]",20
combinedAugmented/office0001_class07_0019.png,"[42, 157, 34, 34]",07
combinedAugmented/office0001_class00_0500.png,"[112, 186, 34, 34]",00
combinedAugmented/office0001_class52_0956.png,"[83, 126, 34, 34]",52
combinedAugmented/office0001_class16_0528.png,"[68, 75, 34, 34]",16
combinedAugmented/office0001_class57_0578.png,"[21, 50, 34, 34]",57
combinedAugmented/office0001_class49_0423.png,"[189, 51, 34, 34]",49
combinedAugmented/office0001_class80_0353.png,"[163, 155, 34, 34]",80
combinedAugmented/office0001_class71_0259.png,"[99, 110, 34, 34]",71
combinedAugmented/office0001_class39_0868.png,"[32, 2, 34, 34]",39
combinedAugmented/office0001_class92_0143.png,"[146, 14, 34, 34]",92
combinedAugmented/office0001_class19_0485.png,"[117, 41, 34, 34]",19
combinedAugmented/office0001_class75_0181.png,"[119, 49, 34, 34]",75
combinedAugmented/office0001_class26_0660.png,"[106, 131, 34, 34]",26
combinedAugmented/office0001_class46_0867.png,"[33, 189, 34, 34]",46
combinedAugmented/office0001_class06_0413.png,"[117, 126, 34, 34]",06
combinedAugmented/office0001_class72_0346.png,"[124, 71, 34, 34]",72
combinedAugmented/office0001_class35_0756.png,"[134, 155, 34, 34]",35
combinedAugmented/office0001_class65_0397.png,"[159, 46, 34, 34]",65
combinedAugmented/office0001_class37_0365.png,"[13, 181, 34, 34]",37
combinedAugmented/office0001_class03_0630.png,"[130, 22, 34, 34]",03
combinedAugmented/office0001_class55_0657.png,"[160, 177, 34, 34]",55
combinedAugmented/office0001_class86_0025.png,"[150, 35, 34, 34]",86
combinedAugmented/office0001_class69_0700.png,"[134, 173, 34, 34]",69
combinedAugmented/office0001_class77_0444.png,"[68, 10, 34, 34]",77
combinedAugmented/office0001_class25_0812.png,"[177, 9, 34, 34]",25
combinedAugmented/office0001_class38_0038.png,"[107, 138, 34, 34]",38
combinedAugmented/office0001_class89_0803.png,"[185, 39, 34, 34]",89
combinedAugmented/office0001_class33_0880.png,"[47, 186, 34, 34]",33
combinedAugmented/office0001_class15_0720.png,"[5, 122, 34, 34]",15
combinedAugmented/office0001_class41_0182.png,"[149, 117, 34, 34]",41
combinedAugmented/office0001_class23_0654.png,"[25, 181, 34, 34]",23
combinedAugmented/office0001_class29_0765.png,"[105, 111, 34, 34]",29
combinedAugmented/office0001_class63_0896.png,"[89, 31, 34, 34]",63
combinedAugmented/office0001_class94_0983.png,"[66, 168, 34, 34]",94
combinedAugmented/office0001_class98_0164.png,"[159, 6, 34, 34]",98
combinedAugmented/office0001_class48_0535.png,"[78, 24, 34, 34]",48
combinedAugmented/office0001_class22_0133.png,"[92, 62, 34, 34]",22
combinedAugmented/office0001_class40_0033.png,"[76, 23, 34, 34]",40
combinedAugmented/office0001_class11_0786.png,"[63, 84, 34, 34]",11
combinedAugmented/office0001_class97_0885.png,"[188, 180, 34, 34]",97
combinedAugmented/office0001_class51_0680.png,"[136, 46, 34, 34]",51
combinedAugmented/office0001_class82_0767.png,"[130, 62, 34, 34]",82
combinedAugmented/office0001_class62_0110.png,"[158, 171, 34, 34]",62
combinedAugmented/office0001_class04_0898.png,"[158, 102, 34, 34]",04
combinedAugmented/office0001_class47_0862.png,"[132, 125, 34, 34]",47
combinedAugmented/office0001_class24_0073.png,"[160, 186, 34, 34]",24
combinedAugmented/office0001_class66_0797.png,"[52, 91, 34, 34]",66
combinedAugmented/office0001_class59_0664.png,"[90, 163, 34, 34]",59
combinedAugmented/office0001_class64_0744.png,"[86, 6, 34, 34]",64
combinedAugmented/office0001_class87_0859.png,"[58, 80, 34, 34]",87
combinedAugmented/office0001_class90_0424.png,"[144, 14, 34, 34]",90
combinedAugmented/office0001_class99_0601.png,"[175, 144, 34, 34]",99
combinedAugmented/office0001_class45_0598.png,"[92, 15, 34, 34]",45
combinedAugmented/office0001_class31_0348.png,"[89, 172, 34, 34]",31
combinedAugmented/office0001_class14_0975.png,"[155, 26, 34, 34]",14
combinedAugmented/office0001_class08_0595.png,"[67, 118, 34, 34]",08
combinedAugmented/office0001_class56_0999.png,"[37, 185, 34, 34]",56
combinedAugmented/office0001_class95_0183.png,"[123, 107, 34, 34]",95
combinedAugmented/office0001_class30_0348.png,"[111, 90, 34, 34]",30
combinedAugmented/office0001_class09_0384.png,"[103, 181, 34, 34]",09
combinedAugmented/office0001_class02_0108.png,"[103, 36, 34, 34]",02
combinedAugmented/office0001_class83_0590.png,"[69, 186, 34, 34]",83
combinedAugmented/office0001_class32_0541.png,"[177, 131, 34, 34]",32
combinedAugmented/office0001_class60_0358.png,"[168, 187, 34, 34]",60
combinedAugmented/office0001_class36_0270.png,"[120, 51, 34, 34]",36
combinedAugmented/office0001_class61_0447.png,"[31, 152, 34, 34]",61
combinedAugmented/office0001_class84_0409.png,"[143, 20, 34, 34]",84
combinedAugmented/office0001_class76_0079.png,"[99, 85, 34, 34]",76
combinedAugmented/office0001_class91_0660.png,"[183, 75, 34, 34]",91
combinedAugmented/office0001_class10_0235.png,"[85, 73, 34, 34]",10
combinedAugmented/office0001_class17_0389.png,"[162, 16, 34, 34]",17
combinedAugmented/office0001_class81_0008.png,"[101, 188, 34, 34]",81
combinedAugmented/office0001_class85_0627.png,"[63, 129, 34, 34]",85
combinedAugmented/office0001_class79_0069.png,"[88, 72, 34, 34]",79
combinedAugmented/office0001_class67_0793.png,"[78, 120, 34, 34]",67
combinedAugmented/office0001_class12_0057.png,"[58, 111, 34, 34]",12
combinedAugmented/office0001_class73_0291.png,"[64, 177, 34, 34]",73
combinedAugmented/office0001_class44_0301.png,"[4, 174, 34, 34]",44
combinedAugmented/office0001_class88_0499.png,"[11, 160, 34, 34]",88
combinedAugmented/office0001_class53_0379.png,"[58, 97, 34, 34]",53
combinedAugmented/office0001_class96_0082.png,"[78, 74, 34, 34]",96
combinedAugmented/office0001_class05_0669.png,"[165, 72, 34, 34]",05
combinedAugmented/office0001_class54_0158.png,"[83, 35, 34, 34]",54
combinedAugmented/office0001_class27_0597.png,"[79, 3, 34, 34]",27
combinedAugmented/office0001_class68_0776.png,"[132, 81, 34, 34]",68
combinedAugmented/office0001_class21_0246.png,"[23, 130, 34, 34]",21
combinedAugmented/office0001_class28_0016.png,"[89, 27, 34, 34]",28
combinedAugmented/office0001_class93_0733.png,"[133, 170, 34, 34]",93
combinedAugmented/office0001_class34_0377.png,"[128, 24, 34, 34]",34
combinedAugmented/office0001_class58_0989.png,"[119, 67, 34, 34]",58
combinedAugmented/office0001_class74_0300.png,"[55, 8, 34, 34]",74
combinedAugmented/office0001_class50_0249.png,"[93, 167, 34, 34]",50
combinedAugmented/office0001_class18_0339.png,"[22, 187, 34, 34]",18
combinedAugmented/office0001_class70_0873.png,"[165, 171, 34, 34]",70
combinedAugmented/office0001_class13_0435.png,"[161, 105, 34, 34]",13
combinedAugmented/office0001_class43_0630.png,"[26, 131, 34, 34]",43
combinedAugmented/office0001_class78_0112.png,"[88, 103, 34, 34]",78
combinedAugmented/office0001_class01_0552.png,"[95, 92, 34, 34]",01
combinedAugmented/office0001_class42_0168.png,"[63, 129, 34, 34]",42
combinedAugmented/office0002_class20_0141.png,"[161, 128, 34, 34]",20
combinedAugmented/office0002_class07_0902.png,"[184, 20, 34, 34]",07
combinedAugmented/office0002_class00_0911.png,"[60, 41, 34, 34]",00
combinedAugmented/office0002_class52_0943.png,"[137, 186, 34, 34]",52
combinedAugmented/office0002_class16_0685.png,"[118, 28, 34, 34]",16
combinedAugmented/office0002_class57_0108.png,"[0, 124, 34, 34]",57
combinedAugmented/office0002_class49_0994.png,"[83, 61, 34, 34]",49
combinedAugmented/office0002_class80_0981.png,"[93, 144, 34, 34]",80
combinedAugmented/office0002_class71_0211.png,"[80, 167, 34, 34]",71
combinedAugmented/office0002_class39_0502.png,"[103, 151, 34, 34]",39
combinedAugmented/office0002_class92_0703.png,"[36, 141, 34, 34]",92
combinedAugmented/office0002_class19_0143.png,"[134, 50, 34, 34]",19
combinedAugmented/office0002_class75_0314.png,"[106, 49, 34, 34]",75
combinedAugmented/office0002_class26_0621.png,"[11, 159, 34, 34]",26
combinedAugmented/office0002_class46_0921.png,"[96, 149, 34, 34]",46
combinedAugmented/office0002_class06_0487.png,"[72, 165, 34, 34]",06
combinedAugmented/office0002_class72_0647.png,"[169, 14, 34, 34]",72
combinedAugmented/office0002_class35_0995.png,"[22, 121, 34, 34]",35
combinedAugmented/office0002_class65_0266.png,"[86, 1, 34, 34]",65
combinedAugmented/office0002_class37_0765.png,"[92, 6, 34, 34]",37
combinedAugmented/office0002_class03_0908.png,"[160, 152, 34, 34]",03
combinedAugmented/office0002_class55_0810.png,"[55, 79, 34, 34]",55
combinedAugmented/office0002_class86_0595.png,"[17, 80, 34, 34]",86
combinedAugmented/office0002_class69_0090.png,"[111, 10, 34, 34]",69
